X,Y,PM25
-10.45,52.15,9.4
-10.45,51.85,3.7
-10.35,52.25,5.7
-10.35,52.15,6.8
-10.35,51.95,3.8
-10.35,51.85,7.3
-10.35,51.75,2.1
-10.25,53.65,0.5
-10.25,52.25,6
-10.25,52.15,4.2
-10.25,51.95,6.4
-10.25,51.85,7.5
-10.15,54.15,1
-10.15,54.05,1.1
-10.15,53.95,3.7
-10.15,53.75,0.7
-10.15,53.65,3.6
-10.15,53.55,4.2
-10.15,53.45,4.7
-10.15,52.25,4.1
-10.15,52.15,2.4
-10.15,52.05,2.3
-10.15,51.95,5.7
-10.15,51.85,4.8
-10.15,51.75,6
-10.15,51.65,2.4
-10.15,51.55,2.3
-10.05,54.25,3.8
-10.05,54.15,1.3
-10.05,54.05,1.7
-10.05,53.95,4
-10.05,53.75,1
-10.05,53.65,1.1
-10.05,53.55,2.7
-10.05,53.45,5
-10.05,53.35,2
-10.05,52.35,0.7
-10.05,52.25,4.8
-10.05,52.15,5.1
-10.05,52.05,3
-10.05,51.95,3.1
-10.05,51.85,3.8
-10.05,51.75,5.7
-10.05,51.65,5.7
-10.05,51.55,2.7
-9.95,54.25,3.6
-9.95,54.15,3
-9.95,54.05,3.7
-9.95,53.95,2.5
-9.95,53.85,1.8
-9.95,53.75,1.3
-9.95,53.65,2.6
-9.95,53.55,4.7
-9.95,53.45,6.4
-9.95,53.35,4.5
-9.95,52.55,1.9
-9.95,52.45,1.8
-9.95,52.25,3.8
-9.95,52.15,3.2
-9.95,52.05,4.2
-9.95,51.95,3.4
-9.95,51.85,3.2
-9.95,51.75,8.1
-9.95,51.65,5.4
-9.85,54.35,1.3
-9.85,54.25,3.2
-9.85,54.15,2.2
-9.85,54.05,3.3
-9.85,53.95,2.5
-9.85,53.85,3
-9.85,53.75,4.6
-9.85,53.65,3.8
-9.85,53.55,4.4
-9.85,53.45,5.3
-9.85,53.35,6.4
-9.85,52.55,4.8
-9.85,52.45,4
-9.85,52.35,3.7
-9.85,52.25,2.9
-9.85,52.15,3.2
-9.85,52.05,2.8
-9.85,51.95,3.2
-9.85,51.85,3.4
-9.85,51.75,4.9
-9.85,51.65,4.7
-9.85,51.55,5.2
-9.85,51.45,2.3
-9.75,54.35,1.3
-9.75,54.25,1.5
-9.75,54.15,3.4
-9.75,54.05,3.8
-9.75,53.95,3.1
-9.75,53.85,3
-9.75,53.75,3.7
-9.75,53.65,1.1
-9.75,53.55,3.2
-9.75,53.45,6.3
-9.75,53.35,4.8
-9.75,53.25,6.7
-9.75,53.15,2.1
-9.75,52.65,6.6
-9.75,52.55,4.6
-9.75,52.45,4.9
-9.75,52.35,4.1
-9.75,52.25,3.8
-9.75,52.15,3.5
-9.75,52.05,2.6
-9.75,51.95,3.2
-9.75,51.85,3.2
-9.75,51.75,4.8
-9.75,51.65,3.8
-9.75,51.55,2.4
-9.75,51.45,5.4
-9.65,54.35,1.5
-9.65,54.25,3.1
-9.65,54.15,4
-9.65,54.05,3.6
-9.65,53.95,3.2
-9.65,53.85,5.6
-9.65,53.75,4.6
-9.65,53.65,1.5
-9.65,53.55,1.2
