Title:,Time Series, Area-Averaged of SO2 Column Amount (Planetary Boundary Layer) OMSO2e v003 daily 0.25 ()
User Start Date:,2013-01-01T00:00:00Z,
User End Date:,2013-12-31T23:59:59Z,
Bounding Box:,"-22.5,41.4844,6.3281,67.5",
URL to Reproduce Results:,"http://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-01-01T00:00:00Z&endtime=2013-12-31T23:59:59Z&bbox=-22.5,41.4844,6.3281,67.5&data=OMSO2e_003_ColumnAmountSO2_PBL&portal=GIOVANNI&format=json",
Fill Value:,-1.27E+30,
,,
time, OMSO2e_003_ColumnAmountSO2_PBL,
01/01/2013,-0.0238121,
02/01/2013,0.072827,
03/01/2013,0.10639,
04/01/2013,0.0411493,
05/01/2013,0.039417,
06/01/2013,0.064923,
07/01/2013,0.0109318,
08/01/2013,0.0253511,
09/01/2013,0.000799376,
10/01/2013,0.0408227,
11/01/2013,,
12/01/2013,0.0393778,
13/01/2013,0.00565792,
14/01/2013,-0.0335293,
15/01/2013,-0.0939264,
16/01/2013,0.0395202,
17/01/2013,0.0302324,
18/01/2013,-0.120549,
19/01/2013,-0.00235394,
20/01/2013,0.0204904,
21/01/2013,0.0992941,
22/01/2013,0.0136872,
23/01/2013,0.0217276,
24/01/2013,-0.0820633,
25/01/2013,0.0163881,
26/01/2013,-0.0747556,
27/01/2013,-0.0183017,
28/01/2013,-0.126852,
29/01/2013,-0.0223335,
30/01/2013,-0.0252242,
31/01/2013,-0.0189893,
01/02/2013,0.0388318,
02/02/2013,-0.024636,
03/02/2013,0.0612142,
04/02/2013,-0.0162228,
05/02/2013,-0.0107171,
06/02/2013,0.0185953,
07/02/2013,-0.0130096,
08/02/2013,-0.00114062,
09/02/2013,-0.00832286,
10/02/2013,-0.0276875,
11/02/2013,-0.0363967,
12/02/2013,,
13/02/2013,0.00854152,
14/02/2013,-0.021511,
15/02/2013,0.000539605,
16/02/2013,-0.0786179,
17/02/2013,-0.0366879,
18/02/2013,-0.011122,
19/02/2013,0.0072127,
20/02/2013,0.0113971,
21/02/2013,-0.0039337,
22/02/2013,-0.0136195,
23/02/2013,-0.0443893,
24/02/2013,-0.0947202,
25/02/2013,0.0706991,
26/02/2013,-0.0424152,
27/02/2013,-0.0652988,
28/02/2013,-0.00506947,
